timestamp,ETC/USDT_2024_1H,ETH/USDT_2024_1H
2024-01-01 00:00:00,21.93,2295.51
2024-01-01 01:00:00,22.11,2303.72
2024-01-01 02:00:00,21.94,2293.02
2024-01-01 03:00:00,21.76,2273.81
2024-01-01 04:00:00,21.65,2279.55
2024-01-01 05:00:00,21.53,2275.89
2024-01-01 06:00:00,21.71,2281.9
2024-01-01 07:00:00,21.96,2284.67
2024-01-01 08:00:00,22.04,2287.01
2024-01-01 09:00:00,22.03,2299.8
2024-01-01 10:00:00,22.02,2302.04
2024-01-01 11:00:00,21.96,2304.47
2024-01-01 12:00:00,21.92,2299.43
2024-01-01 13:00:00,21.99,2304.16
2024-01-01 14:00:00,21.89,2300.99
2024-01-01 15:00:00,22.11,2314.7
2024-01-01 16:00:00,22.1,2309.89
2024-01-01 17:00:00,22.21,2313.76
2024-01-01 18:00:00,22.32,2326.9
2024-01-01 19:00:00,22.47,2337.26
2024-01-01 20:00:00,22.4,2340.98
2024-01-01 21:00:00,22.37,2337.83
2024-01-01 22:00:00,22.3,2334.21
2024-01-01 23:00:00,22.5,2352.04
2024-01-02 00:00:00,22.85,2387.58
2024-01-02 01:00:00,22.7,2378.08
2024-01-02 02:00:00,22.76,2382.95
2024-01-02 03:00:00,22.76,2386.43
2024-01-02 04:00:00,22.77,2387.66
2024-01-02 05:00:00,22.7,2377.48
2024-01-02 06:00:00,22.64,2373.86
2024-01-02 07:00:00,22.75,2385.84
2024-01-02 08:00:00,22.96,2426.49
2024-01-02 09:00:00,22.87,2413.77
2024-01-02 10:00:00,22.73,2398.14
2024-01-02 11:00:00,22.64,2391.24
2024-01-02 12:00:00,22.52,2386.85
2024-01-02 13:00:00,22.6,2398.0
2024-01-02 14:00:00,22.3,2367.28
2024-01-02 15:00:00,22.2,2357.48
2024-01-02 16:00:00,22.22,2367.91
2024-01-02 17:00:00,22.11,2357.43
2024-01-02 18:00:00,22.14,2365.7
2024-01-02 19:00:00,22.13,2369.19
2024-01-02 20:00:00,22.04,2359.87
2024-01-02 21:00:00,22.1,2366.34
2024-01-02 22:00:00,22.12,2359.03
2024-01-02 23:00:00,21.97,2355.34
2024-01-03 00:00:00,22.01,2361.39
2024-01-03 01:00:00,22.15,2373.08
2024-01-03 02:00:00,22.14,2368.75
2024-01-03 03:00:00,22.09,2368.51
2024-01-03 04:00:00,22.12,2370.5
2024-01-03 05:00:00,22.16,2376.94
2024-01-03 06:00:00,22.26,2375.34
2024-01-03 07:00:00,22.15,2361.64
2024-01-03 08:00:00,22.22,2370.5
2024-01-03 09:00:00,22.31,2376.01
2024-01-03 10:00:00,22.11,2364.58
2024-01-03 11:00:00,21.37,2307.68
2024-01-03 12:00:00,20.41,2248.55
2024-01-03 13:00:00,20.14,2223.79
2024-01-03 14:00:00,19.9,2193.77
2024-01-03 15:00:00,20.35,2240.4
2024-01-03 16:00:00,20.24,2231.4
2024-01-03 17:00:00,20.11,2223.3
2024-01-03 18:00:00,19.8,2198.23
2024-01-03 19:00:00,19.92,2206.53
2024-01-03 20:00:00,20.06,2218.28
2024-01-03 21:00:00,20.18,2226.03
2024-01-03 22:00:00,20.07,2205.39
2024-01-03 23:00:00,20.03,2209.72
2024-01-04 00:00:00,20.15,2210.64
2024-01-04 01:00:00,19.93,2205.92
2024-01-04 02:00:00,20.19,2231.59
2024-01-04 03:00:00,20.16,2231.08
2024-01-04 04:00:00,20.19,2237.88
2024-01-04 05:00:00,20.18,2235.93
2024-01-04 06:00:00,20.21,2238.8
2024-01-04 07:00:00,19.98,2221.85
2024-01-04 08:00:00,19.99,2215.95
2024-01-04 09:00:00,20.05,2223.4
2024-01-04 10:00:00,19.95,2222.39
2024-01-04 11:00:00,20.0,2228.14
2024-01-04 12:00:00,20.12,2235.99
2024-01-04 13:00:00,20.12,2238.29
2024-01-04 14:00:00,20.35,2273.25
2024-01-04 15:00:00,20.35,2276.87
2024-01-04 16:00:00,20.25,2269.58
2024-01-04 17:00:00,20.31,2274.72
2024-01-04 18:00:00,20.33,2273.76
2024-01-04 19:00:00,20.45,2274.27
2024-01-04 20:00:00,20.62,2273.4
2024-01-04 21:00:00,20.47,2273.17
2024-01-04 22:00:00,20.49,2270.0
2024-01-04 23:00:00,20.47,2267.11
2024-01-05 00:00:00,20.38,2267.62
2024-01-05 01:00:00,19.96,2237.93
2024-01-05 02:00:00,19.97,2240.4
2024-01-05 03:00:00,20.0,2242.28
2024-01-05 04:00:00,20.01,2243.85
2024-01-05 05:00:00,20.03,2246.45
2024-01-05 06:00:00,20.1,2255.34
